lat,lon,sat
89,11,200.3102
90,11,210.3057
91,11,221.1202
92,11,228.1591
93,11,232.2651
94,11,229.1256
95,11,221.073
96,11,226.938
97,11,242.0991
98,11,254.8458
0,12,-9999
1,12,-9999
2,12,-9999
3,12,-9999
4,12,-9999
5,12,-9999
6,12,-9999
7,12,-9999
8,12,-9999
9,12,-9999
10,12,-9999
11,12,-9999
12,12,-9999
13,12,-9999
14,12,-9999
15,12,-9999
16,12,-9999
17,12,-9999
18,12,-9999
19,12,158.4998
20,12,159.8871
21,12,162.073
22,12,165.087
23,12,168.155
24,12,173.9257
25,12,182.3504
26,12,176.4753
27,12,141.8923
28,12,117.1063
29,12,111.132
30,12,111.8832
31,12,115.0526
32,12,126.6886
33,12,131.6599
34,12,37.6693
35,12,54.82303
36,12,73.5183
37,12,95.00082
38,12,117.0261
39,12,140.7515
40,12,160.5315
41,12,141.8731
42,12,148.9097
43,12,144.1547
44,12,143.7802
45,12,145.903
46,12,152.9264
47,12,161.106
48,12,160.9299
49,12,186.1742
50,12,229.007
51,12,190.2627
52,12,186.5467
53,12,153.0287
54,12,135.4619
55,12,124.9918
56,12,100.4309
57,12,91.53088
58,12,92.80802
59,12,113.948
60,12,167.5042
61,12,195.3852
62,12,208.191
63,12,222.2666
64,12,218.7392
65,12,228.731
66,12,212.1418
67,12,195.784
68,12,179.0917
69,12,168.3445
70,12,140.2833
71,12,117.3258
72,12,158.5746
73,12,184.451
74,12,176.5372
75,12,196.929
76,12,224.4323
77,12,230.4596
78,12,222.2179
79,12,201.6977
80,12,184.1425
81,12,204.6443
82,12,219.3944
83,12,229.4766
84,12,235.0788
85,12,236.0045
86,12,235.5106
87,12,232.5325
88,12,226.143
89,12,217.4619
90,12,217.8313
91,12,216.4247
92,12,222.1246
93,12,228.8226
94,12,224.3024
95,12,202.8632
96,12,220.7908
97,12,257.512
98,12,251.9275
0,13,-9999
1,13,-9999
2,13,-9999
3,13,-9999
4,13,-9999
5,13,-9999
6,13,-9999
7,13,-9999
8,13,-9999
9,13,-9999
10,13,-9999
11,13,-9999
12,13,-9999
13,13,-9999
14,13,-9999
15,13,-9999
16,13,-9999
17,13,-9999
18,13,-9999
19,13,156.3533
20,13,155.9835
21,13,157.678
22,13,158.7213
23,13,160.721
24,13,163.6763
25,13,165.6363
26,13,156.9891
27,13,124.3013
28,13,97.44464
29,13,103.6357
30,13,106.8702
31,13,115.7418
32,13,130.3935
33,13,156.2322
34,13,72.28453
35,13,68.49294
36,13,86.80881
37,13,104.7084
38,13,127.5364
39,13,148.0063
40,13,174.7528
41,13,154.7846
42,13,147.3435
43,13,147.154
44,13,140.6506
45,13,149.0369
46,13,153.0784
47,13,173.0421
48,13,183.667
49,13,199.6226
50,13,215.3059
51,13,192.8246
52,13,181.7617
53,13,164.988
54,13,158.3853
55,13,145.6037
56,13,101.5527
57,13,89.03835
58,13,108.9083
59,13,113.3305
60,13,149.6278
61,13,186.4601
62,13,195.1573
63,13,205.4764
64,13,203.5063
65,13,217.653
66,13,205.8999
67,13,205.4686
68,13,182.0265
69,13,171.8031
70,13,144.7389
71,13,126.0117
72,13,155.8731
73,13,186.6893
74,13,188.8907
75,13,213.1097
76,13,251.6924
77,13,254.5416
78,13,231.1419
79,13,217.5358
80,13,211.8459
81,13,218.4922
82,13,230.7889
83,13,240.7196
84,13,247.0745
85,13,248.4893
86,13,248.6404
87,13,247.8196
88,13,242.9586
89,13,233.9473
90,13,222.8565
91,13,203.5233
92,13,217.0771
93,13,232.3866
94,13,232.301
95,13,235.7437
96,13,242.0426
97,13,250.8161
98,13,248.5958
0,14,-9999
1,14,-9999
2,14,-9999
3,14,-9999
4,14,-9999
5,14,-9999
6,14,-9999
7,14,-9999
8,14,-9999
9,14,-9999
10,14,-9999
11,14,-9999
12,14,-9999
13,14,-9999
14,14,-9999
15,14,-9999
16,14,-9999
17,14,-9999
18,14,-9999
19,14,151.2177
20,14,150.1085
21,14,151.5912
22,14,154.8316
23,14,157.3849
24,14,156.2915
25,14,152.0251
26,14,140.0173
27,14,104.9533
28,14,72.77573
29,14,95.25748
30,14,107.859
31,14,112.6357
32,14,128.9897
33,14,145.2619
34,14,99.19003
35,14,87.7024
36,14,100.2325
37,14,120.2068
38,14,134.4806
39,14,151.4533
40,14,166.1356
41,14,165.4505
42,14,152.1914
43,14,148.8248
44,14,143.0396
45,14,150.2529
46,14,136.1844
47,14,185.7228
48,14,203.7444
49,14,214.498
50,14,214.5949
51,14,197.8478
52,14,185.7678
53,14,175.9806
54,14,166.6838
55,14,152.5045
56,14,110.4617
57,14,89.43477
58,14,122.6822
59,14,124.7212
60,14,138.7101
61,14,180.9203
62,14,198.1971
63,14,197.1339
64,14,174.8059
65,14,194.3333
66,14,199.7165
67,14,223.1815
68,14,180.843
69,14,154.7321
70,14,154.1386
71,14,138.9442
72,14,159.2846
73,14,189.5451
74,14,183.8529
75,14,212.1142
76,14,253.5536
77,14,257.6812
78,14,236.8667
79,14,227.717
80,14,226.3646
81,14,232.6942
82,14,244.7317
83,14,254.4463
84,14,256.5447
85,14,257.4793
86,14,256.1267
87,14,250.0469
88,14,251.2903
89,14,245.8228
90,14,233.5504
91,14,224.4616
92,14,236.0792
93,14,238.788
94,14,235.0802
95,14,242.3589
96,14,245.6789
97,14,240.8195
98,14,239.8271
0,15,-9999
1,15,-9999
2,15,-9999
3,15,-9999
4,15,-9999
5,15,-9999
6,15,-9999
7,15,-9999
8,15,-9999
9,15,-9999
10,15,-9999
11,15,-9999
12,15,-9999
13,15,-9999
14,15,-9999
15,15,-9999
16,15,-9999
17,15,-9999
18,15,-9999
19,15,147.1706
20,15,144.7623
21,15,146.1974
22,15,151.402
23,15,154.6915
24,15,154.3178
25,15,148.0292
26,15,129.5546
27,15,95.14516
28,15,61.24144
29,15,87.49547
30,15,106.4485
31,15,111.3894
32,15,126.1002
33,15,130.0164
34,15,110.7362
35,15,103.4175
36,15,111.9923
37,15,130.715
38,15,144.5611
39,15,155.6104
40,15,162.3714
41,15,170.511
42,15,156.4129
43,15,149.0383
44,15,145.9816
45,15,159.8691
46,15,151.6786
47,15,202.1314
48,15,220.059
49,15,230.913
50,15,227.9048
51,15,212.2076
52,15,197.3096
53,15,190.0215
54,15,179.0049
55,15,166.2782
56,15,129.9977
57,15,114.1598
58,15,134.125
59,15,128.2814
60,15,128.1705
61,15,176.9537
62,15,210.7402
63,15,200.3455
64,15,151.5188
65,15,178.3578
66,15,201.5612
67,15,241.1594
68,15,180.2344
69,15,140.2588
70,15,165.924
71,15,154.7588
72,15,169.1369
73,15,192.5912
74,15,194.1763
75,15,215.4518
76,15,231.9277
77,15,239.3031
78,15,235.8856
79,15,232.6174
80,15,234.153
81,15,244.7235
82,15,257.6268
83,15,268.0739
84,15,267.5355
85,15,269.5106
86,15,274.4511
87,15,269.856
88,15,262.7425
89,15,254.5867
90,15,244.1752
91,15,240.2357
92,15,244.5152
93,15,243.7477
94,15,232.2489
95,15,232.9488
96,15,234.9628
97,15,234.171
98,15,233.2494
0,16,-9999
1,16,-9999
2,16,-9999
3,16,-9999
4,16,-9999
5,16,-9999
6,16,-9999
7,16,-9999
8,16,-9999
9,16,-9999
10,16,-9999
11,16,-9999
12,16,-9999
13,16,-9999
14,16,-9999
15,16,-9999
16,16,-9999
17,16,-9999
18,16,-9999
19,16,145.5587
20,16,142.8938
21,16,144.2691
22,16,151.6042
23,16,157.0914
24,16,154.8096
25,16,144.3321
26,16,117.5104
27,16,94.47065
28,16,72.77499
29,16,93.33216
30,16,108.3725
31,16,116.1408
32,16,123.4469
33,16,123.9887
34,16,119.5443
35,16,117.0923
36,16,124.3574
37,16,141.0963
38,16,150.5746
39,16,159.6237
40,16,164.3006
41,16,159.5889
42,16,159.0143
43,16,144.9681
44,16,138.1974
45,16,173.6214
46,16,192.5258
47,16,219.6166
48,16,237.0674
49,16,249.7857
50,16,241.0143
51,16,225.5103
52,16,209.7325
53,16,198.4997
54,16,190.8611
55,16,181.6028
56,16,150.5292
57,16,135.6519
